A1,A12A,A12B,A12B1,A12B2A,A12B2B,A12B2C,A12B2C2,A12B3A,A12B3B,A12B3C,A12B3C2,A12C,A3,A4,A41,A5,A51,A512,B1,B11B1,B2,B2O,B3,B4,B5,B6,B6O,B7,B8A,B8B,B8C,B8D,B8DO,B9,C1,C2,C22A,C22B,C22C,C3,D1,D1O,D2,D2O,D3,D3O,E1,E11A,E11B,E11C,E21,E22,E23,E3,E32A,E32AO,E32BA,E32BAO,E32BB,E32BBO,E32BC,E32BCO,F1,F11,F21,F22,F23,F3,F321,F322,F323,G1,G2,G3,G4,G5,G6,G7A,G7B,G8,G81,G9,S1,code,w
1, , , , , , , , , , , , ,2,1,3,2, , ,2, ,3, ,1,1,2,2, ,5,1,1,2,3, ,1, , , , , , ,5, ,1, ,4, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,1,2,5,1, , , ,1,2,3,6,13,6,2,,1,6,1,250178,25,0.003313261
1, , , , , , , , , , , , ,5,1,3,2, , ,2, ,, ,1,6,9,4, ,1,6,2,5,5, ,5,2,1, , , ,2,6, ,1, ,2, ,2, , , ,1,1,1,1, , , , , , , , ,1,2,4,2,3,1, , , ,1,1,5,3,,4,4,,1,1,1,250047,25,0.012069735
1, , , , , , , , , , , , ,6,1,3,1,1, ,2, ,, ,2,6,3,5, ,1,5,1,3,5, ,5,3,1, , , ,1,10, ,1, ,2, ,2, , , ,1,1,1,1, , , , , , , , ,1,5,1,2,3,1, , , ,1,2,3,5,,4,2,,1,6,1,250083,25,0.003313261
1, , , , , , , , , , , , ,3,1,2,2, , ,2, ,, ,1,7,2,, ,4,7,2,3,, ,5, , , , , , ,5, ,, ,, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,, , ,1, , , ,1,2,5,1,22,1,3,3,1,1,3,250127,25,0.073365056
1, , , , , , , , , , , , ,4,1,3,2, , ,2, ,3, ,1,3,2,3, ,5,3,1,2,2, ,5, , , , , , ,4, ,1, ,3, ,2, , , ,1,1,1,1, , , , , , , , ,1,1,4,1,3,2,1,8,3,2,1,5,4,13,6,2,2,1,4,8,250065,25,0.012069735
1, , , , , , , , , , , , ,5,1,2,1,2,1,1,19649,, ,1,1,2,2, ,1,1,,3,, ,5,2,1, , , ,5,3, ,1, ,5, ,2, , , ,,,,1, , , , , , , , ,2, ,2,4,6,1, , , ,1,1,6,4,22,3,2,,2, ,8,250145,25,0.073365056
1, , , , , , , , , , , , ,6,1,3,2, , ,2, ,5, ,1,7,3,4, ,1,7,1,3,6, ,6,2,1, , , ,6,3, ,1, ,4, ,2, , , ,1,1,1,1, , , , , , , , ,1,2,2,1,,1, , , ,2,2,3,3,12,3,4,,1,3,8,250170,25,0.012069735
2,2,1,5, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,4,5,15,9,2,2,1,1,22,250177,25,0.003313261
1, , , , , , , , , , , , ,3,1,3,2, , ,1,24733,2, ,1,7,3,2, ,5,7,2,2,4, ,7, , , , , , ,3, ,1, ,2, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,1,, ,2,3,, ,1,2,6,5,15,5,2,,1,1,22,250055,25,0.012069735
1, , , , , , , , , , , , ,8,1,1,1,1, ,1,3565,2, ,2,8,3,5, ,1,7,5,2,, ,1,2,1, , , ,1,7, ,1, ,4, ,2, , , ,1,1,1,1, , , , , , , , ,1,2,2,3,,1, , , ,1,1,6,3,15,7,3,2,1,1,22,250001,25,0.073365056
