變數名稱,變數內容,問題屬性,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容,數值,內容
A1,年底是否還在使用,選擇題,1,是,2,否,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12A,什麼時候才開始不使用,選擇題,1,民國99年底以前,2,民國100年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12B,不使用原因,選擇題,1,暫時沒有使用,2,已失竊,3,已不堪使用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12C,不使用本機車後外出最常使用的運具,選擇題,1,機車,2,自用小客車,3,步行,4,自行車,5,公共運具（含計程車）,6,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12B1,暫時沒有使用的原因,選擇題,1,使用者出外(含當兵、求學、工作、出國等) ,2,年老(傷病)無法騎,3,機車須大修(尚未報廢)才能使用,4,已改用其他運具代替,5,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12B2A,何時失竊,選擇題,1,民國100年,2,民國99年,3,民國98年底以前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12B2B,有沒有到警察機關辦理報案手續並取得車輛失竊證明單,選擇題,1,有,2,沒有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12B2C,沒有到監理單位辦理完成註銷牌照登記,選擇題,1,有,2,沒有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12B2C2,沒有，最主要原因,選擇題,1,不知道要(或不會)辦理,2,嫌麻煩,3,積欠稅款、罰款,4,沒有失竊證明單，無法辦理,5,其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12B3A,何時開始不堪使用,選擇題,1,民國100年,2,民國99年,3,民國98年底以前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
